c008-otel-collector  | 2026-06-20T10:20:31.998Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:35.006Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:38.017Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:41.025Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:42.022Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:20:44.035Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:47.036Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:20:47.044Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:50.053Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:52.054Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:20:53.064Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:56.074Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:20:57.070Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:20:59.084Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:21:00.288Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 13, "data points": 39}
c008-otel-collector  | 2026-06-20T10:21:01.886Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:21:02.093Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:21:05.105Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:21:06.904Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:21:08.115Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:21:11.128Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:21:11.923Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:21:14.138Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:21:16.942Z	info	TracesExporter	{"kind": "exporter", "data_type": "traces", "name": "debug", "resource spans": 1, "spans": 1}
c008-otel-collector  | 2026-06-20T10:21:17.152Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
c008-otel-collector  | 2026-06-20T10:21:20.163Z	info	MetricsExporter	{"kind": "exporter", "data_type": "metrics", "name": "debug", "resource metrics": 1, "metrics": 2, "data points": 12}
